,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
66,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),PHISCH,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 3 von 3,237459,WEA 3,166.0,150.0,Unbekannt,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0184,8.94721,222575.0
67,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 1 von 3,89347,WEA 01 ,125.4,149.1,Ja,Ja,Ja,,,5.0,15.0,W,,,,,2022-11-07,,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.149017,9.442548,221970.0
68,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 2 von 3,89346,WEA 02 ,125.4,149.1,Ja,Ja,Ja,,,5.0,15.0,W,,,,,2022-02-14,2022-11-07,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.146072,9.439194,221970.0
69,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 3 von 3,89345,WEA 03,125.4,149.1,Ja,Ja,Ja,,,5.0,15.0,W,,,,,2022-02-14,,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.143737,9.433597,221970.0
70,,,WP Veer Dörper,SEN,Enercon,E70,10327765,SEN Veer Dörper E70 (223725),ULMR,2021-12-13,Bürgerwindpark Veer Dörper GmbH & Co. KG,Mike Wolf,WEA 1 von 2,784328,WEA07,64.0,71.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,W,,,,,2022-02-15,,,Approved,file:///A:\___Projekte\10327765_2021 E70 SEN WP Veer Dörper WEB Andresen (Mike Wolf) ,54.655621,9.166116,223725.0
71,,,WP Veer Dörper,SEN,Enercon,E70,10327765,SEN Veer Dörper E70 (223725),ULMR,2021-12-13,Bürgerwindpark Veer Dörper GmbH & Co. KG,Mike Wolf,WEA 2 von 2,784329,WEA09,64.0,71.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,W,,,,,2022-02-15,,,Approved,file:///A:\___Projekte\10327765_2021 E70 SEN WP Veer Dörper WEB Andresen (Mike Wolf) ,54.655103,9.169989,223725.0
72,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 1 von 3,1380611,WEA1,160.0,138.0,Ja,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-02-17,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.298333,14.377883,222843.0
73,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 2 von 3,1380608,WEA4,160.0,138.0,Ja,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-02-17,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.295628,14.380911,222843.0
74,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 3 von 3,1380591,WEA7,160.0,138.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2023-01-13,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.295297,14.386622,222843.0
75,,,WP Adensen,SEN,Vestas,V126,10327884,SEN WP Adensen (222220),JOPRZ,2021-12-13,Pavana GmbH,Tobias Leopold,WEA 1 von 2,V244054,WEA1,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,,file:///A:\___Projekte\10327884_2021 V126 SEN WP Adensen Pavana GmbH (Tobias Leopold) ,52.189182,9.728464,222220.0
76,,,WP Adensen,SEN,Vestas,V126,10327884,SEN WP Adensen (222220),JOPRZ,2021-12-13,Pavana GmbH,Tobias Leopold,WEA 2 von 2,V244055,WEA2,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,,file:///A:\___Projekte\10327884_2021 V126 SEN WP Adensen Pavana GmbH (Tobias Leopold) ,52.186123,9.741725,222220.0
77,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 1 von 3,V237986,NW01,125.0,150.0,Unbekannt,Ja,Ja,,,5.0,15.0,E,,,,,2021-12-18,2022-01-05,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.61938,9.41527,224865.0
78,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 2 von 3,V237987,C01,125.0,150.0,Unbekannt,Ja,Ja,,,5.0,15.0,E,,,,,2022-01-17,2022-02-05,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.612765,9.419857,224865.0
79,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 3 von 3,V237988,C04,125.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2022-01-20,2022-05-12,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.613067,9.426803,224865.0
80,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 1 von 4,1380723,WEA 3,110.8,,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2022-02-21,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.53684,9.44137,224392.0
81,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 2 von 4,1380725,WEA 4,110.8,138.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,2022-07-13,2023-04-25,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.535124,9.446034,224392.0
82,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 3 von 4,1380724,WEA 5,80.8,138.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,2022-07-13,2023-04-25,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.533097,9.44986,224392.0
83,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 4 von 4,1380722,WEA 6,80.8,138.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2022-05-21,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.532792,9.442393,224392.0
84,,,Obere Arlau II,SEN,Vestas,V150,10330675,SEN Obere Arlau II (224904),ULMR,2022-01-04,Bürgerwindpark Obere Arlau II Planungs-GmbH & Co. KG,Florian Steinmetz,WEA 1 von 1,,WEA 1,125.0,150.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10330675_2022 V150 SEN Obere Arlau II Cimbergy (Florian Steinmetz) ,54.609277,9.157969,224904.0
85,,Kein Info,Chile,SET,Nordex,N149,10331043,SEN N149 Chile (224784),ULMR,2022-01-04,ENERGIA EOLICA LOS OLMOS SPA,Renato Loureiro Goncalves,WEA 1 von 3,NX87494,,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10331043_2022 N149 SET Chile Energia Eolica los Olmos SPA (Renato Loureiro Goncalves) ,-37.672547,-72.477086,224784.0
86,,,Chile,SET,Nordex,N149,10331043,SEN N149 Chile (224784),ULMR,2022-01-04,ENERGIA EOLICA LOS OLMOS SPA,Renato Loureiro Goncalves,WEA 2 von 3,NX87510,,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10331043_2022 N149 SET Chile Energia Eolica los Olmos SPA (Renato Loureiro Goncalves) ,-37.535328,-72.464844,224784.0
87,,,Chile,SET,Nordex,N149,10331043,SEN N149 Chile (224784),ULMR,2022-01-04,ENERGIA EOLICA LOS OLMOS SPA,Renato Loureiro Goncalves,WEA 3 von 3,NX87499,,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10331043_2022 N149 SET Chile Energia Eolica los Olmos SPA (Renato Loureiro Goncalves) ,-37.674769,-72.450793,224784.0
88,,,Wehrhain,SEN,Vestas,V90,10332386,SEN 2xV90 Wehrhain (221997),RICFRE,2022-01-06,Pavana GmbH,Lars Levermann,WEA 1 von 2,31304,WP-Wehrhain (1),105.0,90.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10332386_2022 V90 SEN Wehrhain Pavana GmbH (Lars Levermann) ,51.73372,13.406968,221997.0
89,,,Wehrhain,SEN,Vestas,V90,10332386,SEN 2xV90 Wehrhain (221997),RICFRE,2022-01-06,Pavana GmbH,Lars Levermann,WEA 2 von 2,31302,WP-Wehrhain (8),105.0,90.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10332386_2022 V90 SEN Wehrhain Pavana GmbH (Lars Levermann) ,51.731381,13.403202,221997.0
94,,,Kattrepel II,SEN,ENERCON,E-115 EP3 E3,10338496,SEN Kattrepel II (221253),RICFRE,2022-02-03,Denker & Wulf AG,Steffen Lehnert,WEA 1 von 4,,WEA 09,149.0,115.71,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10338496_2022  SEN Kattrepel II DenkerundWulf (Steffen Lehnert) ,53.923786,9.063454,221253.0
95,,,Kattrepel II,SEN,ENERCON,E-115 EP3 E3,10338496,SEN Kattrepel II (221253),RICFRE,2022-02-03,Denker & Wulf AG,Steffen Lehnert,WEA 2 von 4,,WEA 10,149.0,115.71,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10338496_2022  SEN Kattrepel II DenkerundWulf (Steffen Lehnert) ,53.92177,9.069588,221253.0
96,,,Kattrepel II,SEN,ENERCON,E-115 EP3 E3,10338496,SEN Kattrepel II (221253),RICFRE,2022-02-03,Denker & Wulf AG,Steffen Lehnert,WEA 3 von 4,,WEA 11,149.0,115.71,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10338496_2022  SEN Kattrepel II DenkerundWulf (Steffen Lehnert) ,53.921188,9.064943,221253.0
97,,,Kattrepel II,SEN,ENERCON,E-115 EP3 E3,10338496,SEN Kattrepel II (221253),RICFRE,2022-02-03,Denker & Wulf AG,Steffen Lehnert,WEA 4 von 4,1160028,WEA 12,135.01,115.71,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10338496_2022  SEN Kattrepel II DenkerundWulf (Steffen Lehnert) ,53.918619,9.061833,221253.0
98,,,Schneebergerhof,SEN,Vestas,V126,10339561,SEN AP Schneeberger Hof (228353),JOPRZ,2022-02-15,Vestas Deutschland GmbH,Jannika Binder,WEA 1 von 1,V227281,WEA 03,149.0,126.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10339561_2022 V126 SEN Schneebergerhof Vestas D (Jannika Binder) ,49.672422,7.915265,228353.0
99,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 1 von 6,V235639,WEA 06,112.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-03-17,,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.733178,8.755157,228467.0
100,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 2 von 6,V235640,WEA 07,112.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-02-02,,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.73003,8.758064,228467.0
101,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 3 von 6,V235641,WEA 08,112.0,136.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,2023-02-02,,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.72719,8.757662,228467.0
102,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 4 von 6,V235643,WEA 10,112.0,136.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,2023-03-17,,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.731204,8.751644,228467.0
103,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 5 von 6,V240906,WEA 11,82.0,136.0,Unbekannt,Ja,Ja,,,5.0,15.0,E,,,,,2022-11-18,2023-01-29,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.734581,8.750893,228467.0
104,,,Dagebüll,SEN,Vestas,V136,10340001,SEM V136 Dagebüll (228467),ULMR,2022-02-17,Greendyke Energy Dagebüll GmbH & Co. KG,Stefan Petschull,WEA 6 von 6,V240907,WEA 12,82.0,136.0,Ja,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2022-11-17,,,Approved,file:///A:\___Projekte\10340001_2022 V136 SEN Dagebüll GeBePro (Stefan Petschull) ,54.728063,8.745281,228467.0
105,2,on hold,Altengamme,SEN,Senvion,MM100,10340574,SEN MM100 Altengamme (228753),FELPLA,2022-02-01,NET Ochsenwerder GmbH,Jens Heidorn,WEA 1 von 2,100340,WEA1,100.0,100.0,Nein,Ja,Ja,TCUP,Nein,4.9,8.0,,Unbekannt,NET Ochsenwerder GmbH,,AP notwendig; Serrations sollen installiert werden,2022-03-11,2023-01-29,,Approved,file:///A:\___Projekte\10340574_2022 MM100 SEN Altengamme NET Wind (Jens Heidorn) ,53.454909,10.258645,228753.0
106,2,on hold,Altengamme,SEN,Senvion,MM100,10340574,SEN MM100 Altengamme (228753),FELPLA,2022-02-01,NET Ochsenwerder GmbH,Jens Heidorn,WEA 2 von 2,100342,WEA3,100.0,100.0,Nein,Ja,Ja,TCUP,Nein,4.9,8.0,,Unbekannt,NET Ochsenwerder GmbH,,AP notwendig; WEA ist zu laut,2022-03-11,2023-01-29,,Approved,file:///A:\___Projekte\10340574_2022 MM100 SEN Altengamme NET Wind (Jens Heidorn) ,53.452396,10.26464,228753.0
107,,,WP Kuhla,SEN,Vestas,V136,10341069,SEN WP Kuhla (224787),PHISCH,2022-02-25,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 1 von 4,,WEA1,149.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10341069_2022 V136 SEN WP Kuhla wpd (Margot Petersen_Jaenicke) ,53.603661,9.269334,224787.0
108,,,WP Kuhla,SEN,Vestas,V136,10341069,SEN WP Kuhla (224787),PHISCH,2022-02-25,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 2 von 4,241127,WEA2,149.0,136.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2023-02-03,,,Approved,file:///A:\___Projekte\10341069_2022 V136 SEN WP Kuhla wpd (Margot Petersen_Jaenicke) ,53.600964,9.27379,224787.0
109,,,WP Kuhla,SEN,Vestas,V136,10341069,SEN WP Kuhla (224787),PHISCH,2022-02-25,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 3 von 4,,WEA3,149.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10341069_2022 V136 SEN WP Kuhla wpd (Margot Petersen_Jaenicke) ,53.604284,9.2762,224787.0
110,,,WP Kuhla,SEN,Vestas,V136,10341069,SEN WP Kuhla (224787),PHISCH,2022-02-25,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 4 von 4,,WEA4,149.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10341069_2022 V136 SEN WP Kuhla wpd (Margot Petersen_Jaenicke) ,53.603837,9.282801,224787.0
111,,,Auras Süd,SET,Vestas,V162,10341214,SET Auras SüD Vestas (228960),ANNJO,2022-02-28,Vestas Wind Systems A/S,NCN,WEA 1 von 3,242326,WEA Auras 02,169.0,162.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,Elektroenergieversorgung cottbus gmbh,,2022-05-11,,,Approved,file:///A:\___Projekte\10341214_2022 V150 SET Auras Süd Vestas DK (NCN) ,51.651009,14.294838,228960.0
112,,,Auras Süd,SET,Vestas,V162,10341214,SET Auras SüD Vestas (228960),ANNJO,2022-02-28,Vestas Wind Systems A/S,NCN,WEA 2 von 3,242327,WEA Auras 03,169.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10341214_2022 V150 SET Auras Süd Vestas DK (NCN) ,51.647323,14.292048,228960.0
113,,,Auras Süd,SET,Vestas,V150,10341214,SET Auras SüD Vestas (228960),ANNJO,2022-02-28,Vestas Wind Systems A/S,NCN,WEA 3 von 3,,WEA Auras 04,169.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10341214_2022 V150 SET Auras Süd Vestas DK (NCN) ,51.649947,14.288813,228960.0
114,"1,5",Ja,WP Wulkow,SEN,Vestas,V150,10341314,SEN WP Wulkow (228601),IACRUZ,2022-03-02,UGE Treplin GmbH & Co. KG Umweltgerechte Energie,Paul Radons,WEA 1 von 1,242290,WEA1,169.0,150.0,Unbekannt,Unbekannt,Ja,"PO6000, SO2.1",Nein,5.3,8.8,W,,Steven Koch (Heliotec),,,2022-05-21,,,Approved,file:///A:\___Projekte\10341314_2022 V150 SEN WP Wulkow UKA (Paul Radons) ,52.396675,14.427526,228601.0
119,,,WP Janneby,SET,Enercon,E115,10343432,SET E-115 Janneby (229422),RICFRE,2022-03-16,ENERCON GmbH,Tanja Stüttechen,WEA 1 von 1,1160001,WEA 02c,132.77,115.71,Ja,Ja,Unbekannt,,,5.0,15.0,E,,,,,2022-03-10,2022-06-23,,Approved,file:///A:\___Projekte\10343432_2022 E115 SET WP Janneby Enercon GmbH (Tanja Stüttechen) ,54.64354042,9.31945816,229422.0
120,,,Stelle-Wittenwurth,SEN,Enercon,E115,10344901,SEN WP Stelle-Wittenw (229828),ARNJEN,2022-03-18,WindPlan Witthohn & Frauen GmbH & Co. KG,,WEA 1 von 1,1160029,WEA 7,122.0,115.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2023-04-18,,,Approved,file:///A:\___Projekte\10344901_2022 E115 SEN Stelle_Wittenwurth WindPlan () ,54.244775,9.051073,229828.0
121,,,WP Iselbek,SET,Enercon,E147 EP5 E2,10345272,SET EPS Iselbek (229482),ARNJEN,2022-03-23,ENERCON GmbH,Kristina Conrady,WEA 1 von 1,1470013,WEA 1,126.0,147.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10345272_2022 E147 EP5 E2 SET WP Iselbek Enercon GmbH (Kristina Conrady) ,54.065387,9.369995,229482.0
122,,,Salzgitter,SEN,Vestas,V136,10355430,SEN V136 Salzgitter (229014),JOPRZ,2022-04-01,Avacon Natur GmbH,Martin Sikorski,WEA 1 von 1,V231219,WEA A1 (MD00624),169.0,136.0,Ja,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-01-15,,,Approved,file:///A:\___Projekte\10355430_2022 V136 SEN Salzgitter Avacon Natur GmbH (Martin Sikorski) ,52.172222,10.429911,229014.0
123,,,Obere Arlau,SET,Vestas,EVENTUS,10360086,SET Obere Arlau (232560),ULMR,2022-04-21,Vestas Wind Systems A/S,NCN,WEA 1 von 1,V243290,WEA 1 - V150,125.0,150.0,Ja,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2022-06-24,2022-11-11,2023-02-24,Approved,file:///A:\___Projekte\10360086_2022 EVENTUS SET Obere Arlau Vestas DK (NCN) ,54.609164,9.157917,232560.0
124,,,Ruhlsdorf,SET,Vestas,EVENTUS,10360284,SET Ruhlsdorf (232552),FELPLA,2022-04-21,Vestas Wind Systems A/S,NCN,WEA 1 von 1,V240298,WEA 01,169.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2022-05-12,,,Approved,file:///A:\___Projekte\10360284_2022 EVENTUS SET Ruhlsdorf Vestas DK (NCN) ,52.357806,13.250208,232552.0
125,,,WP Huje,SEN,Enercon,E126 EP3,10360292,SEN 126 EP3 Huje (230997),ANNJO,2022-04-21,ENERCON GmbH,Ilona Heidenreich,WEA 1 von 2,1250255,,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10360292_2022 E126 EP3 SEN WP Huje Enercon GmbH (Ilona Heidenreich) ,53.985454,9.416114,230997.0
126,,,WP Huje,SEN,Enercon,E126 EP3,10360292,SEN 126 EP3 Huje (230997),ANNJO,2022-04-21,ENERCON GmbH,Ilona Heidenreich,WEA 2 von 2,1250257,,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10360292_2022 E126 EP3 SEN WP Huje Enercon GmbH (Ilona Heidenreich) ,53.985454,9.416114,230997.0
127,,,Eichenhof,SEN,Enercon,E126,10362902,SEN WP Eichenhof E126 (229567),ULMR,2022-04-11,nttb GmbH,Jann Carstens,WEA 1 von 2,1250369,WEA 6,115.8,127.0,Ja,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10362902_2022 E126 SEN Eichenhof nttb (Jann Carstens) ,54.723104,9.091134,229567.0
128,,,Eichenhof,SEN,Enercon,E126,10362902,SEN WP Eichenhof E126 (229567),ULMR,2022-04-11,nttb GmbH,Jann Carstens,WEA 2 von 2,1250370,WEA 7,115.8,127.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,2022-11-22,,,Approved,file:///A:\___Projekte\10362902_2022 E126 SEN Eichenhof nttb (Jann Carstens) ,54.723469,9.096318,229567.0
129,,,WP Norderhamme Hollingstedt,SEN,Vestas,V150,10363104,SEN WP Nordhamme V150 (232607),ANNJO,2022-05-05,Windenergie Norderhamme GmbH & Co. KG,Simon Brälye,WEA 1 von 2,244062,WEA 1,125.0,150.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10363104_2022 V150 SEN WP Norderhamme Hollingstedt WES Ibs (Simon Brälye) ,54.298742,9.199265,232607.0
130,,,WP Norderhamme Hollingstedt,SEN,Vestas,V150,10363104,SEN WP Nordhamme V150 (232607),ANNJO,2022-05-05,Windenergie Norderhamme GmbH & Co. KG,Simon Brälye,WEA 2 von 2,244063,WEA 2,125.0,150.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10363104_2022 V150 SEN WP Norderhamme Hollingstedt WES Ibs (Simon Brälye) ,54.29642,9.206644,232607.0
131,,,Krumstedt,SEN,Enercon,E147,10363108,SEN Krumstedt 2xE147 (232777),ANNJO,2022-05-05,Windpark Krumstedter Viert GmbH & Co. KG,Simon Brälye,WEA 1 von 2,1470035,WEA 1,126.3,147.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10363108_2022 E147 SEN Krumstedt WES Ibs (Simon Brälye) ,54.090053,9.241439,232777.0
132,,,Krumstedt,SEN,Enercon,E147,10363108,SEN Krumstedt 2xE147 (232777),ANNJO,2022-05-05,Windpark Krumstedter Viert GmbH & Co. KG,Simon Brälye,WEA 2 von 2,1470036,WEA 3,126.3,147.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10363108_2022 E147 SEN Krumstedt WES Ibs (Simon Brälye) ,54.088289,9.246687,232777.0
133,,,WP Auras Süd,SEN,Vestas,V150,10363115,SEN Auras Süd V150 (230512),ANNJO,2022-05-13,UGE Schorbus Zwei GmbH & Co. KG Umweltgerechte Energie,Paul Radons,WEA 1 von 1,,WEA Auras 04,169.0,150.0,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10363115_2022 V150 SEN WP Auras Süd UGE Schorbus Zwei GmbH (Paul Radons) ,51.649947,14.288813,230512.0
